run_number,subrun_number,event_number,signal_score,weight
7016,47,2390,0.1272593736648559,0.538942
7017,1106,55322,0.0381793789565563,0.990216
7017,1269,63499,0.4943814575672149,1.04936
7001,1049,52456,0.0031107203103601,0.979001
7020,48,2422,0.0035673142410814,1.07555
7020,324,16209,0.0042580547742545,0.839155
7017,645,32253,0.0107907401397824,0.924241
7017,645,32297,0.0121193639934062,1.2805382163999999
7020,218,10920,0.0047049298882484,1.04186
7020,154,7710,0.0062332288362085,1.04431
7017,204,10223,0.0359899066388607,1.2604033616
7017,1506,75350,0.0155575107783079,0.796901
7017,456,22811,0.0017754861619323,1.32308
7017,1330,66518,0.0987134575843811,1.08153
7020,472,23612,0.0216605253517627,1.19022
7020,309,15499,0.0109550654888153,0.5815129854
7020,116,5820,0.0473706051707267,1.08224
7017,359,17959,0.0089829238131642,0.480675
7012,1424,71220,0.040637943893671,0.9020198030700001
7014,838,41914,0.1935332119464874,0.442218
7017,0,12,0.032002005726099,1.2984129314
7017,1601,80059,0.0402024537324905,1.04091
7017,1601,80090,0.3356130123138428,0.56834
7001,1106,55328,0.0635617300868034,0.913783
